USGS_site,datetime,q,no3_mg_per_l,no3_gse,total_p_mg_per_l,total_p_gse,ssc_mg_per_l,ssc_gse
3339000,2021-04-13,699.0,5.9,1.13,0.09,1.49,21.55,2.2
3339000,2021-04-14,654.0,5.56,1.14,0.09,1.49,19.38,2.22
3339000,2021-04-15,621.0,5.35,1.14,0.07,1.0,17.95,2.18
3339000,2021-04-16,576.0,5.3,1.14,0.08,1.49,14.42,2.19
3339000,2021-04-17,611.0,5.3,1.13,0.08,1.49,17.08,2.22
3339000,2021-04-18,581.0,5.2,1.14,0.08,1.46,16.7,2.15
3339000,2021-04-19,535.0,5.09,1.14,0.09,1.47,14.62,2.14
3339000,2021-04-20,548.0,5.2,1.14,0.1,1.49,19.3,2.12
3339000,2021-04-21,578.0,5.32,1.0,0.06,1.0,19.12,2.11
3339000,2021-04-22,528.0,5.16,1.15,0.1,1.47,17.62,2.1
3339000,2021-04-23,483.0,5.08,1.14,0.07,1.0,13.21,2.15
3339000,2021-04-24,502.0,4.84,1.14,0.09,1.49,14.99,2.12
3339000,2021-04-25,496.0,4.6,1.16,0.09,1.48,16.75,2.18
3339000,2021-04-26,433.0,4.44,1.16,0.07,1.47,10.18,2.22
3339000,2021-04-27,407.0,4.38,1.16,0.07,1.5,9.0,2.2
3339000,2021-04-28,468.0,4.26,1.16,0.16,1.5,52.17,2.13
3339000,2021-04-29,810.0,4.4,1.16,0.36,1.0,62.4,2.11
3339000,2021-04-30,2480.0,7.0,1.0,0.38,1.0,207.0,1.0
3339000,2021-05-01,1720.0,8.56,1.09,0.26,1.45,193.29,2.13
3339000,2021-05-02,1260.0,7.81,1.1,0.17,1.45,77.96,2.14
3339000,2021-05-03,1110.0,6.79,1.12,0.13,1.44,49.42,2.1
3339000,2021-05-04,931.0,6.35,1.12,0.12,1.46,38.24,2.11
3339000,2021-05-05,901.0,5.96,1.13,0.12,1.43,35.9,2.09
3339000,2021-05-06,775.0,5.65,1.13,0.15,1.47,59.88,2.08
3339000,2021-05-07,775.0,5.47,1.14,0.12,1.44,39.55,2.08
3339000,2021-05-08,756.0,5.4,1.14,0.11,1.47,35.82,2.15
3339000,2021-05-09,2240.0,5.48,1.13,0.24,1.0,613.94,2.17
3339000,2021-05-10,6590.0,10.06,1.08,0.37,1.0,947.21,2.22
3339000,2021-05-11,5820.0,12.49,1.07,0.43,1.5,536.64,2.3
3339000,2021-05-12,3850.0,12.96,1.06,0.26,1.0,301.74,2.23
3339000,2021-05-13,2290.0,11.99,1.07,0.27,1.48,182.59,2.19
3339000,2021-05-14,1860.0,11.66,1.07,0.22,1.48,132.09,2.12
3339000,2021-05-15,1350.0,10.33,1.08,0.19,1.46,85.35,2.14
3339000,2021-05-16,1280.0,10.32,1.08,0.18,1.45,76.3,2.15
3339000,2021-05-17,1220.0,9.72,1.08,0.16,1.46,67.37,2.14
3339000,2021-05-18,1290.0,9.37,1.09,0.15,1.48,57.15,2.11
3339000,2021-05-19,1680.0,9.21,1.09,0.2,1.47,121.66,2.12
3339000,2021-05-20,1740.0,10.18,1.08,0.18,1.45,96.83,2.09
3339000,2021-05-21,1460.0,9.89,1.09,0.12,1.0,49.17,2.05
3339000,2021-05-22,1200.0,9.45,1.09,0.11,1.46,35.57,2.15
3339000,2021-05-23,1110.0,8.95,1.09,0.11,1.48,32.15,2.15
3339000,2021-05-24,979.0,8.45,1.1,0.09,1.0,24.3,2.12
3339000,2021-05-25,940.0,8.24,1.1,0.08,1.46,19.08,2.12
3339000,2021-05-26,938.0,7.97,1.1,0.09,1.48,18.82,2.13
3339000,2021-05-27,814.0,7.47,1.1,0.08,1.45,15.93,2.1
3339000,2021-05-28,948.0,7.71,1.1,0.1,1.47,24.21,2.14
3339000,2021-05-29,1000.0,7.35,1.11,0.1,1.47,25.92,2.15
3339000,2021-05-30,1250.0,7.81,1.1,0.11,1.47,39.56,2.11
3339000,2021-05-31,1050.0,7.93,1.1,0.11,1.46,32.45,2.05
3339000,2021-06-01,986.0,8.56,1.09,0.06,1.0,26.44,2.13
3339000,2021-06-02,807.0,8.24,1.1,0.09,1.47,19.82,2.21
3339000,2021-06-03,768.0,7.77,1.11,0.08,1.47,18.56,2.15
3339000,2021-06-04,843.0,7.61,1.1,0.08,1.47,19.72,2.11
3339000,2021-06-05,614.0,7.22,1.11,0.08,1.46,11.27,2.12
3339000,2021-06-06,650.0,6.94,1.12,0.08,1.48,14.28,2.17
3339000,2021-06-07,572.0,7.01,1.0,0.07,1.0,16.0,1.0
3339000,2021-06-08,710.0,5.97,1.13,0.19,1.48,102.93,2.12
3339000,2021-06-09,982.0,6.25,1.12,0.16,1.45,79.28,2.1
3339000,2021-06-10,1400.0,8.24,1.1,0.23,1.47,128.59,2.14
3339000,2021-06-11,996.0,9.4,1.09,0.18,1.48,61.59,2.21
3339000,2021-06-12,787.0,8.83,1.09,0.15,1.48,47.37,2.22
3339000,2021-06-13,797.0,8.18,1.1,0.15,1.58,48.82,2.31
3339000,2021-06-14,838.0,7.42,1.11,0.24,1.56,111.76,2.31
3339000,2021-06-15,633.0,7.35,1.11,0.2,1.47,70.71,2.16
3339000,2021-06-16,544.0,7.03,1.12,0.14,1.49,36.73,2.16
3339000,2021-06-17,489.0,6.61,1.12,0.12,1.49,28.39,2.16
3339000,2021-06-18,462.0,6.1,1.12,0.12,1.47,27.31,2.18
3339000,2021-06-19,2880.0,3.98,1.17,1.01,1.48,2761.92,2.25
3339000,2021-06-20,2500.0,7.14,1.11,0.4,1.47,312.46,2.17
3339000,2021-06-21,1690.0,7.67,1.11,0.29,1.48,175.4,2.18
3339000,2021-06-22,1140.0,7.21,1.11,0.24,1.47,128.89,2.15
3339000,2021-06-23,840.0,6.85,1.12,0.23,1.48,98.91,2.17
3339000,2021-06-24,660.0,6.59,1.13,0.21,1.47,84.06,2.2
3339000,2021-06-25,1450.0,5.5,1.14,0.26,1.0,511.82,2.22
3339000,2021-06-26,4930.0,6.25,1.12,0.47,1.0,911.53,2.25
3339000,2021-06-27,11800.0,6.26,1.12,0.42,1.0,607.32,2.25
3339000,2021-06-28,15600.0,7.46,1.1,0.33,1.52,287.03,2.27
3339000,2021-06-29,14400.0,7.79,1.1,0.31,1.0,237.79,2.24
3339000,2021-06-30,10700.0,7.25,1.11,0.25,1.51,186.24,2.34
3339000,2021-07-01,9530.0,5.92,1.12,0.3,1.48,302.37,2.24
3339000,2021-07-02,6140.0,5.95,1.12,0.24,1.49,162.57,2.21
3339000,2021-07-03,3600.0,6.8,1.11,0.23,1.47,142.2,2.21
3339000,2021-07-04,2560.0,6.93,1.11,0.2,1.48,111.9,2.18
3339000,2021-07-05,1940.0,6.81,1.11,0.18,1.47,88.44,2.2
3339000,2021-07-06,1560.0,6.52,1.12,0.17,1.48,86.48,2.25
3339000,2021-07-07,1330.0,6.3,1.12,0.16,1.48,72.17,2.27
3339000,2021-07-08,1160.0,6.06,1.14,0.16,1.5,61.99,2.25
3339000,2021-07-09,1060.0,5.73,1.13,0.14,1.5,52.93,2.2
3339000,2021-07-10,1010.0,5.75,1.13,0.14,1.51,44.93,2.23
3339000,2021-07-11,1290.0,5.3,1.0,0.41,1.0,925.55,2.32
3339000,2021-07-12,1740.0,2.18,1.0,0.55,1.0,320.76,2.24
3339000,2021-07-13,1910.0,5.14,1.0,0.15,1.0,170.09,2.28
3339000,2021-07-14,1920.0,4.27,1.17,0.26,1.57,171.64,2.27
3339000,2021-07-15,1390.0,4.46,1.17,0.18,1.57,78.68,2.29
3339000,2021-07-16,2310.0,4.08,1.17,0.29,1.58,242.25,2.27
3339000,2021-07-17,3590.0,3.95,1.17,0.35,1.48,358.97,2.2
3339000,2021-07-18,3170.0,4.76,1.15,0.31,1.5,233.23,2.17
3339000,2021-07-19,2000.0,5.34,1.14,0.23,1.5,127.08,2.19
3339000,2021-07-20,1360.0,5.32,1.14,0.18,1.49,78.72,2.16
3339000,2021-07-21,1050.0,5.52,1.0,0.14,1.0,55.5,2.22
3339000,2021-07-22,871.0,5.4,1.0,0.13,1.0,39.95,2.21
3339000,2021-07-23,722.0,5.18,1.0,0.11,1.0,30.97,2.16
3339000,2021-07-24,680.0,4.35,1.17,0.2,1.48,88.26,2.22
3339000,2021-07-25,1260.0,4.53,1.0,0.3,1.0,121.49,2.25
3339000,2021-07-26,1540.0,4.44,1.0,0.15,1.0,54.33,2.17
3339000,2021-07-27,1010.0,4.04,1.0,0.13,1.0,36.41,2.19
3339000,2021-07-28,647.0,3.26,1.2,0.15,1.48,29.38,2.17
3339000,2021-07-29,555.0,3.24,1.19,0.15,1.46,25.75,2.23
3339000,2021-07-30,536.0,3.26,1.19,0.13,1.47,24.01,2.22
3339000,2021-07-31,472.0,2.94,1.2,0.12,1.47,21.71,2.19
3339000,2021-08-01,422.0,2.83,1.2,0.13,1.47,17.48,2.19
3339000,2021-08-02,351.0,2.77,1.2,0.11,1.46,13.88,2.24
3339000,2021-08-03,313.0,2.85,1.0,0.07,1.0,16.75,2.2
3339000,2021-08-04,291.0,2.76,1.22,0.1,1.47,13.18,2.25
3339000,2021-08-05,253.0,2.65,1.22,0.1,1.47,11.57,2.23
3339000,2021-08-06,208.0,2.29,1.0,0.05,1.0,9.9,2.24
3339000,2021-08-07,197.0,2.23,1.23,0.1,1.48,9.36,2.24
3339000,2021-08-08,187.0,2.16,1.24,0.1,1.48,8.42,2.23
3339000,2021-08-09,181.0,1.91,1.25,0.14,1.52,15.34,2.27
3339000,2021-08-10,172.0,1.79,1.26,0.16,1.48,20.74,2.21
3339000,2021-08-11,173.0,1.65,1.0,0.11,1.0,18.06,2.25
3339000,2021-08-12,188.0,1.76,1.25,0.17,1.5,17.78,2.19
3339000,2021-08-13,796.0,1.56,1.0,0.11,1.0,141.04,2.18
3339000,2021-08-14,2690.0,1.52,1.0,0.6,1.56,225.16,2.43
3339000,2021-08-15,2400.0,1.77,1.0,0.43,1.53,130.74,2.34
3339000,2021-08-16,944.0,2.1,1.22,0.32,1.5,77.6,2.21
3339000,2021-08-17,543.0,2.8,1.0,0.27,1.49,58.22,2.26
3339000,2021-08-18,374.0,2.1,1.24,0.27,1.5,55.08,2.14
3339000,2021-08-19,294.0,2.17,1.23,0.2,1.5,32.77,2.17
3339000,2021-08-20,263.0,2.24,1.23,0.16,1.47,23.46,2.1
3339000,2021-08-21,219.0,2.22,1.22,0.15,1.49,19.45,2.2
3339000,2021-08-22,187.0,2.16,1.22,0.13,1.47,16.63,2.16
3339000,2021-08-23,166.0,2.14,1.22,0.13,1.48,13.99,2.18
3339000,2021-08-24,173.0,2.25,1.21,0.13,1.47,13.46,2.22
3339000,2021-08-25,230.0,1.85,1.23,0.19,1.46,31.11,2.18
3339000,2021-08-26,424.0,1.41,1.0,0.48,1.49,249.58,2.22
3339000,2021-08-27,412.0,1.21,1.0,0.26,1.48,88.1,2.24
3339000,2021-08-28,324.0,2.51,1.21,0.21,1.47,56.69,2.2
3339000,2021-08-29,243.0,1.94,1.23,0.4,1.5,151.72,2.24
3339000,2021-08-30,340.0,1.47,1.26,0.67,1.51,259.98,2.23
3339000,2021-08-31,210.0,1.09,1.0,0.38,1.51,75.59,2.24
3339000,2021-09-01,165.0,1.26,1.25,0.34,1.5,53.69,2.2
3339000,2021-09-02,143.0,1.34,1.25,0.3,1.48,47.03,2.19
3339000,2021-09-03,127.0,1.45,1.25,0.28,1.5,41.98,2.19
3339000,2021-09-04,215.0,1.52,1.0,0.58,1.51,245.98,2.25
3339000,2021-09-05,242.0,1.33,1.0,0.61,1.54,197.16,2.22
3339000,2021-09-06,164.0,1.6,1.26,0.34,1.5,65.17,2.2
3339000,2021-09-07,159.0,1.48,1.27,0.48,1.51,149.36,2.26
3339000,2021-09-08,312.0,1.5,1.0,0.51,1.51,208.5,2.21
3339000,2021-09-09,619.0,1.02,1.0,0.47,1.52,240.47,2.25
3339000,2021-09-10,410.0,1.99,1.24,0.43,1.49,85.51,2.17
3339000,2021-09-11,271.0,1.48,1.26,0.36,1.5,53.94,2.2
3339000,2021-09-12,190.0,1.34,1.25,0.33,1.49,41.29,2.25
3339000,2021-09-13,153.0,1.3,1.24,0.31,1.5,32.73,2.23
3339000,2021-09-14,133.0,1.37,1.26,0.27,1.5,27.26,2.23
3339000,2021-09-15,118.0,1.41,1.26,0.25,1.49,25.16,2.23
3339000,2021-09-16,108.0,1.36,1.28,0.26,1.5,23.65,2.21
3339000,2021-09-17,106.0,1.51,1.26,0.2,1.48,18.69,2.25
3339000,2021-09-18,96.0,1.52,1.26,0.18,1.47,16.59,2.22
3339000,2021-09-19,94.9,1.57,1.25,0.17,1.48,14.77,2.19
3339000,2021-09-20,94.1,1.57,1.24,0.17,1.48,13.12,2.24
3339000,2021-09-21,107.0,1.6,1.26,0.22,1.51,20.4,2.24
3339000,2021-09-22,201.0,1.86,1.23,0.25,1.5,31.55,2.15
3339000,2021-09-23,276.0,2.21,1.23,0.23,1.47,35.91,2.18
3339000,2021-09-24,254.0,2.26,1.23,0.22,1.47,31.75,2.21
3339000,2021-09-25,209.0,1.72,1.26,0.25,1.46,26.81,2.15
3339000,2021-09-26,174.0,1.54,1.26,0.24,1.5,23.15,2.18
3339000,2021-09-27,155.0,1.55,1.26,0.23,1.48,20.98,2.2
3339000,2021-09-28,132.0,1.45,1.25,0.22,1.48,19.47,2.18
3339000,2021-09-29,117.0,2.3,1.0,0.22,1.49,18.78,2.28
3339000,2021-09-30,111.0,1.49,1.25,0.2,1.5,16.41,2.23
